answerResultLength,answerSetSize,answerSet_0,answerSet_1,brevity,combinedF1,errorF1Format,errorF1Minor,errorF1Spaces,errorGreaterThan,errorHttp,errorNumber,errorQuotationMark,f1,fixedF1,fixedPrecision,fixedRecall,lastAnswer,modelId,precision,recall,relaxedF1,relaxedPrecision,relaxedRecall,resultFilename,startTime,taskId,taskLabel,taskVersion,testUid,trimF1,trimPrecision,trimRecall
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:43.718743,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:44.897338,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:45.431470,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
2.0,2.0,"""Bob""","""Anne"" ",0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,"""Anne"" 
""Bob""",GPT3.5 2024/01,0.0,0.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:45.942579,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,0.0,0.0,0.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:46.761399,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:47.336115,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:48.260733,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
1.0,1.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:49.065120,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-10,1.0,1.0,1.0
1.0,1.0,"""Anne""",,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.5,"""Anne""",GPT3.5 2024/01,0.0,0.0,0.6666666666666666,1.0,0.5,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:49.457790,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-19,0.0,0.0,0.0
1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:50.049728,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:50.615595,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:wonderOrg,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:wonderOrg,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:52:51.379512,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaTurtle,2.0,vcard-org-data-big-5,1.0,1.0,1.0
