answerResultLength,answerSetSize,answerSet_0,answerSet_1,answerSet_2,brevity,combinedF1,errorF1Format,errorF1Minor,errorF1Spaces,errorGreaterThan,errorHttp,errorNumber,errorQuotationMark,f1,fixedF1,fixedPrecision,fixedRecall,lastAnswer,modelId,precision,recall,relaxedF1,relaxedPrecision,relaxedRecall,resultFilename,startTime,taskId,taskLabel,taskVersion,testUid,trimF1,trimPrecision,trimRecall
1.0,1.0,:chiefResearchOfficer,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:53.764162,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:researchDep,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:researchDep,GPT3.5 2024/01,0.0,0.0,0.0,0.0,0.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:55.036141,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-5,0.0,0.0,0.0
1.0,1.0,:2,,,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:2,GPT3.5 2024/01,0.0,0.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:55.786931,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-10,0.0,0.0,0.0
1.0,1.0,"""Anne""",,,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.5,"""Anne""",GPT3.5 2024/01,0.0,0.0,0.6666666666666666,1.0,0.5,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:56.576851,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-19,0.0,0.0,0.0
1.0,1.0,1,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:57.374212,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-27,1.0,1.0,1.0
1.0,1.0,:chiefResearchOfficer,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,:chiefResearchOfficer,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:58.002578,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-1,1.0,1.0,1.0
1.0,1.0,:researchDep,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:researchDep,GPT3.5 2024/01,0.0,0.0,0.0,0.0,0.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:58.566790,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-5,0.0,0.0,0.0
1.0,1.0,2,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:59.173516,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-10,1.0,1.0,1.0
1.0,1.0,"""Anne""",,,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.5,"""Anne""",GPT3.5 2024/01,0.0,0.0,0.6666666666666666,1.0,0.5,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:53:59.784028,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-19,0.0,0.0,0.0
1.0,1.0,1,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,GPT3.5 2024/01,1.0,1.0,1.0,1.0,1.0,llm-kg-bench_run-2024-05-07_21-52-43_result_ModelGpt-Sparql2AnswerListOrganizational-20x.json,2024-05-07T21:54:00.356036,Sparql2AnswerListOrganizational,Sparql2AnswerListOrgaJsonld,2.0,vcard-org-data-big-27,1.0,1.0,1.0
